Bach,js_bach
Bartok,bela_bartok
Schoenberg,arnold_schoenberg
Debussy,claude_debussy
Evans,bill_evans
Xenakis,iannis_xenakis
Palestrina,giovanni_palestrina
Boulanger,lili_boulanger
Stockhausen,karlheinz_stockhausen
Saariaho,kaija_saariaho
Clara,clara_schumann
Nikolayeva,tatiana_nikolayeva
Gonzaga,chiquinha_gonzaga
Wolfe,julia_wolfe
Shaw,caroline_shaw
Reich,steve_reich
Parker,charlie_parker
Gesualdo,carlo_gesualdo
Ligeti,gyorgy_ligeti
Lerdahl,fred_lerdahl
Furrer,beat_furrer
Kurtag,gyorgy_kurtag
Messiaen,olivier_messiaen
Boulez,pierre_boulez
Carter,elliot_carter
Berio,luciano_berio
Lachenmann,helmut_lachenmann
Dutilleux,henri_dutilleux
Saunders,rebecca_saunders
Haas,friederich_haas
Ferneyhough,brian_ferneyhough
Cage,john_cage
Katunda,eunice_katunda
Hosokawa,toshio_hosokawa
Raaymakers,dick_raaymakers
Webern,anton_webern
Gershwin,george_gershwin
Pdq,pdq_bach
Chopin,frederich_chopin
Chopin,frederic_chopin
